11:51:14.219423, Любовь Гаврилова, 889316495, 2*3*5/7+1, 5.285714285714286
11:53:36.604656, Любовь Гаврилова, id=889316495, 2*3+4*5/2-6/2*5+1, результат=2.0
11:54:09.099445, Любовь Гаврилова, id=889316495, 2*3+4*5/2-6/2*5+1, результат=2.0
12:01:39.271633, Любовь Гаврилова, id=889316495, 5*3-5*2, результат=5.0
12:01:54.094546, Любовь Гаврилова, id=889316495, 45+45/9, результат=50.0
12:02:18.326696, Любовь Гаврилова, id=889316495, 6/7-4, результат=-3.142857142857143
12:53:30.173106, Чисто, id=5347132087, 12+12, результат=24.0
12:54:00.507480, Чисто, id=5347132087, 22-11, результат=11.0
12:54:07.603871, Чисто, id=5347132087, 22.5-11, результат=11.5
13:10:57.061803, Yura, id=506516971, 100-250*348/2, результат=-43400.0
13:20:42.941093, Любовь Гаврилова, id=889316495, 2,5*4, результат=10.0
13:21:26.849422, Чисто, id=5347132087, 11,5-5, результат=6.5
13:21:31.871493, Чисто, id=5347132087, 11-5,5, результат=5.5
